id,ranking,name,institution,ign
P087,2388,Jordan Johnson,Sunway University,Dizzy
P088,1990,Casey Garcia,Multimedia University,Mixwell
P089,2399,Riley Brown,Universiti Teknologi Malaysia,Loony
P090,2278,Avery Garcia,University of Malaya,HaloReborn
P091,2257,Jamie Garcia,University of Malaya,Marvel
P092,2135,Riley Lee,Universiti Teknologi Malaysia,Derke
P093,2129,Avery Wilson,Monash University Malaysia,Doublelift
P094,2048,Alex Johnson,Universiti Kebangsaan Malaysia,Ana
P095,2325,Quinn Smith,Taylor's University,Zer0
P096,2143,Quinn Lee,Monash University Malaysia,Nadeshot
P097,2165,Alex Garcia,Taylor's University,Nokokopuffs
P098,1905,Riley Brown,Universiti Sains Malaysia,dupreeh
P099,2267,Riley Wilson,Monash University Malaysia,aBeZy
P100,2294,Morgan Lee,Universiti Putra Malaysia,ChocoTaco
P101,2098,Alex Lee,Taylor's University,TenZ
P102,2086,Morgan Garcia,Universiti Putra Malaysia,UnknownxArmy
P103,2346,Jamie Smith,UCSI University,Karma
P104,2052,Morgan Rodriguez,Taylor's University,Crimsix
P105,2328,Morgan Brown,University of Malaya,Vaxei
P106,2186,Jamie Martinez,Universiti Teknologi Malaysia,FalleN
P107,1992,Casey Martinez,Sunway University,Nmplol
P108,1928,Quinn Martinez,University of Malaya,sinatraa
P109,2390,Casey Lee,Multimedia University,DrDisrespect
P110,1935,Alex Johnson,Multimedia University,Arteezy
P111,2382,Riley Martinez,Monash University Malaysia,Priestahh
P112,2057,Jordan Davis,Multimedia University,Trainwreckstv
P113,2290,Casey Smith,Monash University Malaysia,MajorManiak
P114,2379,Quinn Wilson,Universiti Sains Malaysia,fer
P115,2369,Jamie Johnson,Taylor's University,Crayator
P116,2180,Jordan Garcia,Sunway University,Subroza
P117,2343,Jamie Martinez,Monash University Malaysia,FairyPeak!
P118,1973,Quinn Lee,Universiti Sains Malaysia,MATUMBAMAN
P119,1917,Jamie Lee,Multimedia University,Kuxir97
P120,2358,Casey Davis,Sunway University,SypherPK
P121,2122,Casey Garcia,Universiti Sains Malaysia,JoshOG
P122,2392,Dakota Anderson,Taylor's University,Dendi
P123,2224,Avery Rodriguez,Universiti Sains Malaysia,Mizkif
P124,2161,Avery Lee,Universiti Kebangsaan Malaysia,Loltyler1
P125,2018,Quinn Anderson,Taylor's University,Benjyfishy
P126,2247,Morgan Garcia,Universiti Sains Malaysia,LIRIK
P127,1976,Taylor Smith,University of Malaya,iiTzTimmy
P128,1928,Avery Anderson,Universiti Kebangsaan Malaysia,Gunless
P129,2021,Jamie Anderson,Universiti Sains Malaysia,Greekgodx
P130,2368,Avery Davis,Universiti Sains Malaysia,Envoy
P131,2375,Alex Johnson,Monash University Malaysia,Xchocobars
P132,1992,Taylor Wilson,UCSI University,s1mple
P133,2262,Quinn Brown,Universiti Kebangsaan Malaysia,dakotaz
P134,2004,Taylor Rodriguez,Sunway University,NerfThisKid
P135,2210,Dakota Martinez,UCSI University,Sneaky
P136,2078,Jamie Wilson,UCSI University,HasanAbi
P137,1963,Avery Rodriguez,Universiti Teknologi Malaysia,Plup
P138,2358,Casey Wilson,UCSI University,Clix
P139,2388,Casey Rodriguez,Universiti Kebangsaan Malaysia,Zain
P140,1989,Morgan Garcia,Taylor's University,Chicago
P141,1934,Quinn Johnson,Universiti Putra Malaysia,Effect
P142,2191,Morgan Davis,Universiti Putra Malaysia,ChuDat
P143,2143,Jordan Davis,Monash University Malaysia,SicK
P144,2092,Quinn Rodriguez,Monash University Malaysia,NiKo
P145,2020,Morgan Davis,Monash University Malaysia,Mew2King
P146,2253,Alex Anderson,Monash University Malaysia,GeT_RiGhT
P147,1998,Alex Martinez,Universiti Teknologi Malaysia,Uzi
P148,1916,Jamie Wilson,Sunway University,Its_Sky
P149,2333,Avery Brown,Universiti Teknologi Malaysia,Trick2g
P150,2242,Avery Smith,Monash University Malaysia,Broky
P151,2044,Jamie Lee,UCSI University,Faker
P152,2292,Dakota Wilson,University of Malaya,Anomaly
P153,2135,Dakota Anderson,University of Malaya,Nairo
P154,2171,Jamie Lee,UCSI University,Profit
P155,2238,Alex Garcia,Monash University Malaysia,Turbopolsa
P156,1916,Morgan Rodriguez,Taylor's University,ScreaM
P157,2200,Jamie Garcia,Monash University Malaysia,GrandPooBear
P158,2171,Jordan Rodriguez,University of Malaya,TGLTN
P159,2251,Alex Martinez,Universiti Sains Malaysia,Tylacto
P160,2080,Alex Smith,Universiti Sains Malaysia,Rascal
P161,2186,Alex Anderson,Universiti Putra Malaysia,Clayster
P162,2155,Taylor Rodriguez,Universiti Kebangsaan Malaysia,Hiko
P163,2064,Morgan Rodriguez,Universiti Teknologi Malaysia,DrLupo
P164,2367,Taylor Anderson,Multimedia University,Valkyrae
P165,2018,Taylor Garcia,Universiti Kebangsaan Malaysia,DangKoi
P166,2354,Alex Garcia,Multimedia University,dapr
P167,2105,Jamie Brown,Universiti Kebangsaan Malaysia,Caps
P168,2225,Jordan Garcia,Multimedia University,f0rest
P169,2165,Dakota Smith,Taylor's University,Nikita
P170,2101,Jamie Martinez,Universiti Kebangsaan Malaysia,Alinity
P171,2346,Riley Smith,Monash University Malaysia,Esfand
P172,2030,Jordan Davis,Taylor's University,NickEh30
P173,2009,Taylor Davis,Universiti Putra Malaysia,forsen
P174,1931,Casey Anderson,Sunway University,Rookie
P175,2036,Avery Davis,Multimedia University,GarrettG
P176,2387,Riley Brown,Universiti Kebangsaan Malaysia,Zombs
P177,1950,Avery Brown,UCSI University,Fleta
P178,2098,Dakota Davis,Taylor's University,Amouranth
P179,2364,Avery Martinez,Universiti Putra Malaysia,Mango
P180,2038,Morgan Martinez,Universiti Teknologi Malaysia,FormaL
P181,2006,Casey Anderson,Universiti Teknologi Malaysia,Mongraal
P182,2067,Alex Wilson,Universiti Sains Malaysia,SumaiL
P183,2128,Morgan Davis,UCSI University,Miracle-
P184,2045,Morgan Rodriguez,UCSI University,Sayaplayer
P185,2135,Alex Johnson,Universiti Teknologi Malaysia,G2Swiffer
P186,2176,Jamie Brown,Universiti Teknologi Malaysia,Meko
P187,2225,Riley Rodriguez,Sunway University,Bizzle
P188,1942,Riley Davis,Sunway University,SquishyMuffinz
P189,2295,Riley Rodriguez,Universiti Teknologi Malaysia,Methodz
P190,2276,Casey Brown,Universiti Kebangsaan Malaysia,Scump
P191,2039,Riley Johnson,Sunway University,Ceice
P192,2278,Morgan Brown,UCSI University,Mendokusaii
P193,2250,Dakota Wilson,Multimedia University,Summit1G
P194,2132,Jordan Brown,Universiti Teknologi Malaysia,kennyS
P195,2197,Riley Lee,Universiti Teknologi Malaysia,electroNic
P196,2072,Quinn Lee,Universiti Teknologi Malaysia,JJAN
P197,1991,Alex Wilson,Universiti Teknologi Malaysia,GuardiaN
P198,2286,Avery Johnson,University of Malaya,Perkz
P199,2370,Casey Rodriguez,UCSI University,Hungrybox
P200,1930,Riley Lee,University of Malaya,NerO
